Cell_ID,Latitude,Longitude,Dominant_NUTS2,Dominant_NUTS0,Nuts0_ID,Nuts2_ID,IdClimateRoger,ClimateDescription,IdClimateAggregated,AggregatedClimateDescription
58,48.25,15.583,AT12,AT,1,2,7,Continental,7,Continental
59,48.25,15.75,AT12,AT,1,2,7,Continental,7,Continental
60,48.25,15.917,AT12,AT,1,2,7,Continental,7,Continental
61,48.25,16.083,AT12,AT,1,2,7,Continental,7,Continental
62,48.25,16.25,AT12,AT,1,2,7,Continental,7,Continental
63,48.25,16.583,AT12,AT,1,2,7,Continental,7,Continental
64,48.25,16.75,AT12,AT,1,2,7,Continental,7,Continental
65,48.25,16.917,AT12,AT,1,2,7,Continental,7,Continental
66,48.417,15.083,AT12,AT,1,2,7,Continental,7,Continental
67,48.417,15.25,AT12,AT,1,2,7,Continental,7,Continental
68,48.417,15.417,AT12,AT,1,2,7,Continental,7,Continental
69,48.417,15.583,AT12,AT,1,2,7,Continental,7,Continental
70,48.417,15.75,AT12,AT,1,2,7,Continental,7,Continental
71,48.417,15.917,AT12,AT,1,2,7,Continental,7,Continental
72,48.417,16.083,AT12,AT,1,2,7,Continental,7,Continental
73,48.417,16.25,AT12,AT,1,2,7,Continental,7,Continental
74,48.417,16.417,AT12,AT,1,2,7,Continental,7,Continental
75,48.417,16.583,AT12,AT,1,2,7,Continental,7,Continental
76,48.417,16.75,AT12,AT,1,2,7,Continental,7,Continental
77,48.583,14.75,AT12,AT,1,2,7,Continental,7,Continental
78,48.583,14.917,AT12,AT,1,2,7,Continental,7,Continental
79,48.583,15.083,AT12,AT,1,2,7,Continental,7,Continental
80,48.583,15.25,AT12,AT,1,2,7,Continental,7,Continental
81,48.583,15.417,AT12,AT,1,2,7,Continental,7,Continental
82,48.583,15.583,AT12,AT,1,2,7,Continental,7,Continental
83,48.583,15.75,AT12,AT,1,2,7,Continental,7,Continental
84,48.583,15.917,AT12,AT,1,2,7,Continental,7,Continental
85,48.583,16.083,AT12,AT,1,2,7,Continental,7,Continental
86,48.583,16.25,AT12,AT,1,2,7,Continental,7,Continental
87,48.583,16.417,AT12,AT,1,2,7,Continental,7,Continental
88,48.583,16.583,AT12,AT,1,2,7,Continental,7,Continental
89,48.583,16.75,AT12,AT,1,2,7,Continental,7,Continental
90,48.583,16.917,AT12,AT,1,2,7,Continental,7,Continental
91,48.75,14.917,AT12,AT,1,2,7,Continental,7,Continental
92,48.75,15.083,AT12,AT,1,2,7,Continental,7,Continental
93,48.75,15.25,AT12,AT,1,2,7,Continental,7,Continental
94,48.75,15.417,AT12,AT,1,2,7,Continental,7,Continental
95,48.75,15.583,AT12,AT,1,2,7,Continental,7,Continental
96,48.75,15.75,AT12,AT,1,2,7,Continental,7,Continental
97,48.75,15.917,AT12,AT,1,2,7,Continental,7,Continental
98,48.75,16.083,AT12,AT,1,2,7,Continental,7,Continental
99,48.75,16.417,AT12,AT,1,2,7,Continental,7,Continental
100,48.75,16.583,AT12,AT,1,2,7,Continental,7,Continental
101,48.917,15.083,AT12,AT,1,2,7,Continental,7,Continental
102,48.917,15.25,AT12,AT,1,2,7,Continental,7,Continental
103,48.917,15.417,AT12,AT,1,2,7,Continental,7,Continental
104,48.25,16.417,AT13,AT,1,3,7,Continental,7,Continental
105,46.583,13.25,AT21,AT,1,4,1,Alpine,1,Alpine
106,46.583,13.417,AT21,AT,1,4,1,Alpine,1,Alpine
107,46.583,13.583,AT21,AT,1,4,1,Alpine,1,Alpine
108,46.583,13.75,AT21,AT,1,4,1,Alpine,1,Alpine
109,46.583,13.917,AT21,AT,1,4,1,Alpine,1,Alpine
110,46.583,14.083,AT21,AT,1,4,1,Alpine,1,Alpine
111,46.583,14.25,AT21,AT,1,4,1,Alpine,1,Alpine
112,46.583,14.417,AT21,AT,1,4,1,Alpine,1,Alpine
113,46.583,14.583,AT21,AT,1,4,1,Alpine,1,Alpine
114,46.583,14.75,AT21,AT,1,4,1,Alpine,1,Alpine
115,46.75,12.917,AT21,AT,1,4,1,Alpine,1,Alpine
116,46.75,13.083,AT21,AT,1,4,1,Alpine,1,Alpine
117,46.75,13.25,AT21,AT,1,4,1,Alpine,1,Alpine
118,46.75,13.417,AT21,AT,1,4,1,Alpine,1,Alpine
119,46.75,13.583,AT21,AT,1,4,1,Alpine,1,Alpine
120,46.75,13.75,AT21,AT,1,4,1,Alpine,1,Alpine
121,46.75,13.917,AT21,AT,1,4,1,Alpine,1,Alpine
122,46.75,14.083,AT21,AT,1,4,1,Alpine,1,Alpine
123,46.75,14.25,AT21,AT,1,4,1,Alpine,1,Alpine
124,46.75,14.417,AT21,AT,1,4,1,Alpine,1,Alpine
125,46.75,14.583,AT21,AT,1,4,1,Alpine,1,Alpine
126,46.75,14.75,AT21,AT,1,4,1,Alpine,1,Alpine
127,46.75,14.917,AT21,AT,1,4,1,Alpine,1,Alpine
128,46.917,12.917,AT21,AT,1,4,1,Alpine,1,Alpine
129,46.917,13.083,AT21,AT,1,4,1,Alpine,1,Alpine
130,46.917,13.25,AT21,AT,1,4,1,Alpine,1,Alpine
131,46.917,13.417,AT21,AT,1,4,1,Alpine,1,Alpine
132,46.917,13.583,AT21,AT,1,4,1,Alpine,1,Alpine
133,46.917,13.75,AT21,AT,1,4,1,Alpine,1,Alpine
134,46.917,13.917,AT21,AT,1,4,1,Alpine,1,Alpine
135,46.917,14.083,AT21,AT,1,4,1,Alpine,1,Alpine
136,46.917,14.25,AT21,AT,1,4,1,Alpine,1,Alpine
137,46.917,14.417,AT21,AT,1,4,1,Alpine,1,Alpine
138,46.917,14.583,AT21,AT,1,4,1,Alpine,1,Alpine
139,46.917,14.75,AT21,AT,1,4,1,Alpine,1,Alpine
140,46.917,14.917,AT21,AT,1,4,1,Alpine,1,Alpine
141,47.083,12.75,AT21,AT,1,4,1,Alpine,1,Alpine
142,46.75,15.083,AT22,AT,1,5,7,Continental,7,Continental
143,46.75,15.25,AT22,AT,1,5,7,Continental,7,Continental
144,46.75,15.417,AT22,AT,1,5,7,Continental,7,Continental
145,46.75,15.583,AT22,AT,1,5,7,Continental,7,Continental
146,46.75,15.75,AT22,AT,1,5,7,Continental,7,Continental
147,46.75,15.917,AT22,AT,1,5,7,Continental,7,Continental
148,46.917,15.083,AT22,AT,1,5,7,Continental,7,Continental
149,46.917,15.25,AT22,AT,1,5,7,Continental,7,Continental
150,46.917,15.417,AT22,AT,1,5,7,Continental,7,Continental
151,46.917,15.583,AT22,AT,1,5,7,Continental,7,Continental
152,46.917,15.75,AT22,AT,1,5,7,Continental,7,Continental
153,46.917,15.917,AT22,AT,1,5,7,Continental,7,Continental
154,47.083,13.917,AT22,AT,1,5,1,Alpine,1,Alpine
155,47.083,14.083,AT22,AT,1,5,1,Alpine,1,Alpine
156,47.083,14.25,AT22,AT,1,5,1,Alpine,1,Alpine
157,47.083,14.417,AT22,AT,1,5,1,Alpine,1,Alpine
158,47.083,14.583,AT22,AT,1,5,1,Alpine,1,Alpine
159,47.083,14.75,AT22,AT,1,5,1,Alpine,1,Alpine
160,47.083,14.917,AT22,AT,1,5,1,Alpine,1,Alpine
161,47.083,15.083,AT22,AT,1,5,1,Alpine,1,Alpine
162,47.083,15.25,AT22,AT,1,5,1,Alpine,1,Alpine
163,47.083,15.417,AT22,AT,1,5,7,Continental,7,Continental
164,47.083,15.583,AT22,AT,1,5,7,Continental,7,Continental
165,47.083,15.75,AT22,AT,1,5,7,Continental,7,Continental
166,47.083,15.917,AT22,AT,1,5,7,Continental,7,Continental
167,47.083,16.083,AT22,AT,1,5,7,Continental,7,Continental
168,47.25,13.917,AT22,AT,1,5,1,Alpine,1,Alpine
169,47.25,14.083,AT22,AT,1,5,1,Alpine,1,Alpine
170,47.25,14.25,AT22,AT,1,5,1,Alpine,1,Alpine
171,47.25,14.417,AT22,AT,1,5,1,Alpine,1,Alpine
172,47.25,14.583,AT22,AT,1,5,1,Alpine,1,Alpine
173,47.25,14.75,AT22,AT,1,5,1,Alpine,1,Alpine
174,47.25,14.917,AT22,AT,1,5,1,Alpine,1,Alpine
175,47.25,15.083,AT22,AT,1,5,1,Alpine,1,Alpine
176,47.25,15.25,AT22,AT,1,5,1,Alpine,1,Alpine
177,47.25,15.417,AT22,AT,1,5,1,Alpine,1,Alpine
178,47.25,15.583,AT22,AT,1,5,1,Alpine,1,Alpine
179,47.25,15.75,AT22,AT,1,5,7,Continental,7,Continental
180,47.25,15.917,AT22,AT,1,5,7,Continental,7,Continental
181,47.417,13.75,AT22,AT,1,5,1,Alpine,1,Alpine
182,47.417,13.917,AT22,AT,1,5,1,Alpine,1,Alpine
183,47.417,14.083,AT22,AT,1,5,1,Alpine,1,Alpine
184,47.417,14.25,AT22,AT,1,5,1,Alpine,1,Alpine
185,47.417,14.417,AT22,AT,1,5,1,Alpine,1,Alpine
186,47.417,14.583,AT22,AT,1,5,1,Alpine,1,Alpine
187,47.417,14.75,AT22,AT,1,5,1,Alpine,1,Alpine
188,47.417,14.917,AT22,AT,1,5,1,Alpine,1,Alpine
189,47.417,15.083,AT22,AT,1,5,1,Alpine,1,Alpine
190,47.417,15.25,AT22,AT,1,5,1,Alpine,1,Alpine
191,47.417,15.417,AT22,AT,1,5,1,Alpine,1,Alpine
192,47.417,15.583,AT22,AT,1,5,1,Alpine,1,Alpine
193,47.417,15.75,AT22,AT,1,5,1,Alpine,1,Alpine
194,47.417,15.917,AT22,AT,1,5,7,Continental,7,Continental
195,47.417,16.083,AT22,AT,1,5,7,Continental,7,Continental
196,47.583,13.75,AT22,AT,1,5,1,Alpine,1,Alpine
197,47.583,13.917,AT22,AT,1,5,1,Alpine,1,Alpine
198,47.583,14.083,AT22,AT,1,5,1,Alpine,1,Alpine
199,47.583,14.25,AT22,AT,1,5,1,Alpine,1,Alpine
200,47.583,14.417,AT22,AT,1,5,1,Alpine,1,Alpine
201,47.583,14.583,AT22,AT,1,5,1,Alpine,1,Alpine
202,47.583,14.75,AT22,AT,1,5,1,Alpine,1,Alpine
203,47.583,14.917,AT22,AT,1,5,1,Alpine,1,Alpine
204,47.583,15.083,AT22,AT,1,5,1,Alpine,1,Alpine
205,47.583,15.25,AT22,AT,1,5,1,Alpine,1,Alpine
206,47.583,15.417,AT22,AT,1,5,1,Alpine,1,Alpine
207,47.583,15.583,AT22,AT,1,5,1,Alpine,1,Alpine
208,47.583,15.75,AT22,AT,1,5,1,Alpine,1,Alpine
209,47.75,14.75,AT22,AT,1,5,1,Alpine,1,Alpine
210,47.75,15.25,AT22,AT,1,5,1,Alpine,1,Alpine
211,47.75,15.417,AT22,AT,1,5,1,Alpine,1,Alpine
212,47.583,13.583,AT31,AT,1,6,1,Alpine,1,Alpine
213,47.75,13.583,AT31,AT,1,6,1,Alpine,1,Alpine
214,47.75,13.75,AT31,AT,1,6,1,Alpine,1,Alpine
215,47.75,13.917,AT31,AT,1,6,1,Alpine,1,Alpine
216,47.75,14.083,AT31,AT,1,6,1,Alpine,1,Alpine
217,47.75,14.25,AT31,AT,1,6,1,Alpine,1,Alpine
218,47.75,14.417,AT31,AT,1,6,1,Alpine,1,Alpine
219,47.75,14.583,AT31,AT,1,6,1,Alpine,1,Alpine
220,47.917,13.417,AT31,AT,1,6,7,Continental,7,Continental
221,47.917,13.583,AT31,AT,1,6,7,Continental,7,Continental
222,47.917,13.75,AT31,AT,1,6,7,Continental,7,Continental
223,47.917,13.917,AT31,AT,1,6,7,Continental,7,Continental
224,47.917,14.083,AT31,AT,1,6,7,Continental,7,Continental
225,47.917,14.25,AT31,AT,1,6,7,Continental,7,Continental
226,47.917,14.417,AT31,AT,1,6,7,Continental,7,Continental
227,47.917,14.583,AT31,AT,1,6,7,Continental,7,Continental
228,48.083,12.917,AT31,AT,1,6,7,Continental,7,Continental
229,48.083,13.083,AT31,AT,1,6,7,Continental,7,Continental
230,48.083,13.25,AT31,AT,1,6,7,Continental,7,Continental
231,48.083,13.417,AT31,AT,1,6,7,Continental,7,Continental
232,48.083,13.583,AT31,AT,1,6,7,Continental,7,Continental
233,48.083,13.75,AT31,AT,1,6,7,Continental,7,Continental
234,48.083,13.917,AT31,AT,1,6,7,Continental,7,Continental
235,48.083,14.083,AT31,AT,1,6,7,Continental,7,Continental
236,48.083,14.25,AT31,AT,1,6,7,Continental,7,Continental
237,48.083,14.417,AT31,AT,1,6,7,Continental,7,Continental
238,48.25,13.083,AT31,AT,1,6,7,Continental,7,Continental
239,48.25,13.25,AT31,AT,1,6,7,Continental,7,Continental
240,48.25,13.417,AT31,AT,1,6,7,Continental,7,Continental
241,48.25,13.583,AT31,AT,1,6,7,Continental,7,Continental
242,48.25,13.75,AT31,AT,1,6,7,Continental,7,Continental
243,48.25,13.917,AT31,AT,1,6,7,Continental,7,Continental
244,48.25,14.083,AT31,AT,1,6,7,Continental,7,Continental
245,48.25,14.25,AT31,AT,1,6,7,Continental,7,Continental
246,48.25,14.417,AT31,AT,1,6,7,Continental,7,Continental
247,48.25,14.583,AT31,AT,1,6,7,Continental,7,Continental
248,48.25,14.75,AT31,AT,1,6,7,Continental,7,Continental
249,48.25,14.917,AT31,AT,1,6,7,Continental,7,Continental
250,48.417,13.583,AT31,AT,1,6,7,Continental,7,Continental
251,48.417,13.75,AT31,AT,1,6,7,Continental,7,Continental
252,48.417,13.917,AT31,AT,1,6,7,Continental,7,Continental
253,48.417,14.083,AT31,AT,1,6,7,Continental,7,Continental
254,48.417,14.25,AT31,AT,1,6,7,Continental,7,Continental
255,48.417,14.417,AT31,AT,1,6,7,Continental,7,Continental
256,48.417,14.583,AT31,AT,1,6,7,Continental,7,Continental
257,48.417,14.75,AT31,AT,1,6,7,Continental,7,Continental
258,48.417,14.917,AT31,AT,1,6,7,Continental,7,Continental
259,48.583,13.917,AT31,AT,1,6,7,Continental,7,Continental
260,48.583,14.083,AT31,AT,1,6,7,Continental,7,Continental
261,48.583,14.417,AT31,AT,1,6,7,Continental,7,Continental
262,48.583,14.583,AT31,AT,1,6,7,Continental,7,Continental
263,47.083,12.25,AT32,AT,1,7,1,Alpine,1,Alpine
264,47.083,12.917,AT32,AT,1,7,1,Alpine,1,Alpine
265,47.083,13.083,AT32,AT,1,7,1,Alpine,1,Alpine
266,47.083,13.25,AT32,AT,1,7,1,Alpine,1,Alpine
267,47.083,13.417,AT32,AT,1,7,1,Alpine,1,Alpine
268,47.083,13.583,AT32,AT,1,7,1,Alpine,1,Alpine
269,47.083,13.75,AT32,AT,1,7,1,Alpine,1,Alpine
270,47.25,12.25,AT32,AT,1,7,1,Alpine,1,Alpine
271,47.25,12.417,AT32,AT,1,7,1,Alpine,1,Alpine
272,47.25,12.583,AT32,AT,1,7,1,Alpine,1,Alpine
273,47.25,12.75,AT32,AT,1,7,1,Alpine,1,Alpine
274,47.25,12.917,AT32,AT,1,7,1,Alpine,1,Alpine
275,47.25,13.083,AT32,AT,1,7,1,Alpine,1,Alpine
276,47.25,13.25,AT32,AT,1,7,1,Alpine,1,Alpine
277,47.25,13.417,AT32,AT,1,7,1,Alpine,1,Alpine
278,47.25,13.583,AT32,AT,1,7,1,Alpine,1,Alpine
279,47.25,13.75,AT32,AT,1,7,1,Alpine,1,Alpine
280,47.417,12.75,AT32,AT,1,7,1,Alpine,1,Alpine
281,47.417,12.917,AT32,AT,1,7,1,Alpine,1,Alpine
282,47.417,13.083,AT32,AT,1,7,1,Alpine,1,Alpine
283,47.417,13.25,AT32,AT,1,7,1,Alpine,1,Alpine
284,47.417,13.417,AT32,AT,1,7,1,Alpine,1,Alpine
285,47.417,13.583,AT32,AT,1,7,1,Alpine,1,Alpine
286,47.583,12.75,AT32,AT,1,7,1,Alpine,1,Alpine
287,47.583,13.083,AT32,AT,1,7,1,Alpine,1,Alpine
288,47.583,13.25,AT32,AT,1,7,1,Alpine,1,Alpine
289,47.583,13.417,AT32,AT,1,7,1,Alpine,1,Alpine
290,47.75,13.083,AT32,AT,1,7,1,Alpine,1,Alpine
291,47.75,13.25,AT32,AT,1,7,1,Alpine,1,Alpine
292,47.75,13.417,AT32,AT,1,7,1,Alpine,1,Alpine
293,47.917,13.083,AT32,AT,1,7,7,Continental,7,Continental
294,47.917,13.25,AT32,AT,1,7,7,Continental,7,Continental
295,46.75,12.417,AT33,AT,1,8,1,Alpine,1,Alpine
296,46.75,12.583,AT33,AT,1,8,1,Alpine,1,Alpine
297,46.75,12.75,AT33,AT,1,8,1,Alpine,1,Alpine
298,46.917,10.25,AT33,AT,1,8,1,Alpine,1,Alpine
299,46.917,10.583,AT33,AT,1,8,1,Alpine,1,Alpine
300,46.917,10.75,AT33,AT,1,8,1,Alpine,1,Alpine
301,46.917,10.917,AT33,AT,1,8,1,Alpine,1,Alpine
302,46.917,11.083,AT33,AT,1,8,1,Alpine,1,Alpine
303,46.917,12.25,AT33,AT,1,8,1,Alpine,1,Alpine
304,46.917,12.417,AT33,AT,1,8,1,Alpine,1,Alpine
305,46.917,12.583,AT33,AT,1,8,1,Alpine,1,Alpine
306,46.917,12.75,AT33,AT,1,8,1,Alpine,1,Alpine
307,47.083,10.25,AT33,AT,1,8,1,Alpine,1,Alpine
308,47.083,10.417,AT33,AT,1,8,1,Alpine,1,Alpine
309,47.083,10.583,AT33,AT,1,8,1,Alpine,1,Alpine
310,47.083,10.75,AT33,AT,1,8,1,Alpine,1,Alpine
311,47.083,10.917,AT33,AT,1,8,1,Alpine,1,Alpine
312,47.083,11.083,AT33,AT,1,8,1,Alpine,1,Alpine
313,47.083,11.25,AT33,AT,1,8,1,Alpine,1,Alpine
314,47.083,11.417,AT33,AT,1,8,1,Alpine,1,Alpine
315,47.083,11.583,AT33,AT,1,8,1,Alpine,1,Alpine
316,47.083,11.75,AT33,AT,1,8,1,Alpine,1,Alpine
317,47.083,11.917,AT33,AT,1,8,1,Alpine,1,Alpine
318,47.083,12.083,AT33,AT,1,8,1,Alpine,1,Alpine
319,47.083,12.417,AT33,AT,1,8,1,Alpine,1,Alpine
320,47.083,12.583,AT33,AT,1,8,1,Alpine,1,Alpine
321,47.25,10.25,AT33,AT,1,8,1,Alpine,1,Alpine
322,47.25,10.417,AT33,AT,1,8,1,Alpine,1,Alpine
323,47.25,10.583,AT33,AT,1,8,1,Alpine,1,Alpine
324,47.25,10.75,AT33,AT,1,8,1,Alpine,1,Alpine
325,47.25,10.917,AT33,AT,1,8,1,Alpine,1,Alpine
326,47.25,11.083,AT33,AT,1,8,1,Alpine,1,Alpine
327,47.25,11.25,AT33,AT,1,8,1,Alpine,1,Alpine
328,47.25,11.417,AT33,AT,1,8,1,Alpine,1,Alpine
329,47.25,11.583,AT33,AT,1,8,1,Alpine,1,Alpine
330,47.25,11.75,AT33,AT,1,8,1,Alpine,1,Alpine
331,47.25,11.917,AT33,AT,1,8,1,Alpine,1,Alpine
332,47.25,12.083,AT33,AT,1,8,1,Alpine,1,Alpine
333,47.417,10.583,AT33,AT,1,8,1,Alpine,1,Alpine
334,47.417,10.75,AT33,AT,1,8,1,Alpine,1,Alpine
335,47.417,10.917,AT33,AT,1,8,1,Alpine,1,Alpine
336,47.417,11.25,AT33,AT,1,8,1,Alpine,1,Alpine
337,47.417,11.417,AT33,AT,1,8,1,Alpine,1,Alpine
338,47.417,11.583,AT33,AT,1,8,1,Alpine,1,Alpine
339,47.417,11.75,AT33,AT,1,8,1,Alpine,1,Alpine
340,47.417,11.917,AT33,AT,1,8,1,Alpine,1,Alpine
341,47.417,12.083,AT33,AT,1,8,1,Alpine,1,Alpine
342,47.417,12.25,AT33,AT,1,8,1,Alpine,1,Alpine
343,47.417,12.417,AT33,AT,1,8,1,Alpine,1,Alpine
344,47.417,12.583,AT33,AT,1,8,1,Alpine,1,Alpine
345,47.583,11.75,AT33,AT,1,8,1,Alpine,1,Alpine
346,47.583,11.917,AT33,AT,1,8,1,Alpine,1,Alpine
347,47.583,12.083,AT33,AT,1,8,1,Alpine,1,Alpine
348,47.583,12.25,AT33,AT,1,8,1,Alpine,1,Alpine
349,47.583,12.417,AT33,AT,1,8,1,Alpine,1,Alpine
350,47.583,12.583,AT33,AT,1,8,1,Alpine,1,Alpine
351,46.917,10.083,AT34,AT,1,9,1,Alpine,1,Alpine
352,47.083,9.75,AT34,AT,1,9,1,Alpine,1,Alpine
353,47.083,9.917,AT34,AT,1,9,1,Alpine,1,Alpine
354,47.083,10.083,AT34,AT,1,9,1,Alpine,1,Alpine
355,47.25,9.583,AT34,AT,1,9,7,Continental,7,Continental
356,47.25,9.75,AT34,AT,1,9,1,Alpine,1,Alpine
357,47.25,9.917,AT34,AT,1,9,1,Alpine,1,Alpine
358,47.25,10.083,AT34,AT,1,9,1,Alpine,1,Alpine
359,47.417,9.75,AT34,AT,1,9,7,Continental,7,Continental
360,47.417,9.917,AT34,AT,1,9,1,Alpine,1,Alpine
361,47.417,10.083,AT34,AT,1,9,1,Alpine,1,Alpine
362,51.083,4.25,BE21,BE,2,10,4,Atlantic,4,Atlantic
363,51.083,4.417,BE21,BE,2,10,4,Atlantic,4,Atlantic
364,51.083,4.583,BE21,BE,2,10,4,Atlantic,4,Atlantic
365,51.083,4.75,BE21,BE,2,10,4,Atlantic,4,Atlantic
366,51.083,4.917,BE21,BE,2,10,4,Atlantic,4,Atlantic
367,51.083,5.083,BE21,BE,2,10,4,Atlantic,4,Atlantic
368,51.25,4.417,BE21,BE,2,10,4,Atlantic,4,Atlantic
369,51.25,4.583,BE21,BE,2,10,4,Atlantic,4,Atlantic
370,51.25,4.75,BE21,BE,2,10,4,Atlantic,4,Atlantic
371,51.25,4.917,BE21,BE,2,10,4,Atlantic,4,Atlantic
372,51.25,5.083,BE21,BE,2,10,4,Atlantic,4,Atlantic
373,51.25,5.25,BE21,BE,2,10,4,Atlantic,4,Atlantic
374,51.417,4.417,BE21,BE,2,10,4,Atlantic,4,Atlantic
375,51.417,4.583,BE21,BE,2,10,4,Atlantic,4,Atlantic
376,51.417,4.75,BE21,BE,2,10,4,Atlantic,4,Atlantic
377,51.417,4.917,BE21,BE,2,10,4,Atlantic,4,Atlantic
378,50.75,5.25,BE22,BE,2,11,4,Atlantic,4,Atlantic
379,50.75,5.417,BE22,BE,2,11,4,Atlantic,4,Atlantic
380,50.917,5.25,BE22,BE,2,11,4,Atlantic,4,Atlantic
381,50.917,5.417,BE22,BE,2,11,4,Atlantic,4,Atlantic
382,50.917,5.583,BE22,BE,2,11,4,Atlantic,4,Atlantic
383,51.083,5.25,BE22,BE,2,11,4,Atlantic,4,Atlantic
384,51.083,5.417,BE22,BE,2,11,4,Atlantic,4,Atlantic
385,51.083,5.583,BE22,BE,2,11,4,Atlantic,4,Atlantic
386,51.083,5.75,BE22,BE,2,11,4,Atlantic,4,Atlantic
387,51.25,5.417,BE22,BE,2,11,4,Atlantic,4,Atlantic
388,50.75,3.583,BE23,BE,2,12,4,Atlantic,4,Atlantic
389,50.75,3.917,BE23,BE,2,12,4,Atlantic,4,Atlantic
390,50.917,3.583,BE23,BE,2,12,4,Atlantic,4,Atlantic
391,50.917,3.75,BE23,BE,2,12,4,Atlantic,4,Atlantic
392,50.917,3.917,BE23,BE,2,12,4,Atlantic,4,Atlantic
393,50.917,4.083,BE23,BE,2,12,4,Atlantic,4,Atlantic
394,51.083,3.417,BE23,BE,2,12,4,Atlantic,4,Atlantic
395,51.083,3.583,BE23,BE,2,12,4,Atlantic,4,Atlantic
396,51.083,3.75,BE23,BE,2,12,4,Atlantic,4,Atlantic
397,51.083,3.917,BE23,BE,2,12,4,Atlantic,4,Atlantic
398,51.083,4.083,BE23,BE,2,12,4,Atlantic,4,Atlantic
399,51.25,3.583,BE23,BE,2,12,4,Atlantic,4,Atlantic
400,51.25,3.75,BE23,BE,2,12,4,Atlantic,4,Atlantic
401,51.25,4.083,BE23,BE,2,12,4,Atlantic,4,Atlantic
